ANO,MS,DI,HR,1200535,1200579,1210762
2018,1,1,0,76.0,77.0,91.0
2018,1,1,1,81.0,82.0,92.0
2018,1,1,2,85.0,87.0,92.0
2018,1,1,3,93.0,88.0,95.0
2018,1,1,4,91.0,90.0,96.0
2018,1,1,5,93.0,91.0,96.0
2018,1,1,6,95.0,92.0,96.0
2018,1,1,7,94.0,93.0,97.0
2018,1,1,8,94.0,90.0,97.0
2018,1,1,9,95.0,91.0,98.0
2018,1,1,10,93.0,84.0,98.0
2018,1,1,11,78.0,77.0,93.0
2018,1,1,12,77.0,79.0,84.0
2018,1,1,13,70.0,67.0,78.0
2018,1,1,14,61.0,64.0,69.0
2018,1,1,15,62.0,63.0,65.0
2018,1,1,16,64.0,65.0,68.0
2018,1,1,17,66.0,65.0,67.0
2018,1,1,18,69.0,67.0,76.0
2018,1,1,19,71.0,71.0,82.0
2018,1,1,20,74.0,71.0,85.0
2018,1,1,21,75.0,72.0,87.0
2018,1,1,22,78.0,74.0,87.0
2018,1,1,23,78.0,78.0,88.0
2018,1,2,0,82.0,80.0,92.0
2018,1,2,1,81.0,84.0,93.0
2018,1,2,2,83.0,86.0,95.0
2018,1,2,3,85.0,90.0,95.0
2018,1,2,4,87.0,89.0,96.0
2018,1,2,5,88.0,87.0,96.0
2018,1,2,6,89.0,88.0,97.0
2018,1,2,7,87.0,87.0,97.0
2018,1,2,8,93.0,88.0,97.0
2018,1,2,9,94.0,86.0,98.0
2018,1,2,10,86.0,81.0,97.0
2018,1,2,11,81.0,80.0,93.0
2018,1,2,12,76.0,75.0,83.0
2018,1,2,13,76.0,71.0,81.0
2018,1,2,14,70.0,71.0,80.0
2018,1,2,15,68.0,71.0,74.0
2018,1,2,16,71.0,72.0,81.0
2018,1,2,17,78.0,73.0,84.0
2018,1,2,18,82.0,75.0,85.0
2018,1,2,19,80.0,77.0,84.0
2018,1,2,20,79.0,77.0,85.0
2018,1,2,21,81.0,80.0,84.0
2018,1,2,22,86.0,86.0,88.0
2018,1,2,23,90.0,89.0,91.0
2018,1,3,0,90.0,90.0,92.0
2018,1,3,1,92.0,91.0,93.0
2018,1,3,2,94.0,92.0,95.0
2018,1,3,3,94.0,94.0,95.0
2018,1,3,4,96.0,96.0,96.0
2018,1,3,5,97.0,97.0,97.0
2018,1,3,6,98.0,96.0,97.0
2018,1,3,7,98.0,97.0,97.0
2018,1,3,8,98.0,96.0,98.0
2018,1,3,9,97.0,95.0,98.0
2018,1,3,10,95.0,92.0,98.0
2018,1,3,11,87.0,88.0,96.0
2018,1,3,12,83.0,84.0,92.0
2018,1,3,13,87.0,84.0,92.0
2018,1,3,14,90.0,85.0,95.0
2018,1,3,15,86.0,86.0,95.0
2018,1,3,16,84.0,86.0,92.0
2018,1,3,17,86.0,89.0,91.0
2018,1,3,18,87.0,87.0,90.0
2018,1,3,19,91.0,92.0,93.0
2018,1,3,20,93.0,92.0,94.0
2018,1,3,21,92.0,93.0,94.0
2018,1,3,22,94.0,92.0,95.0
2018,1,3,23,95.0,92.0,95.0
2018,1,4,0,95.0,91.0,96.0
2018,1,4,1,96.0,95.0,96.0
2018,1,4,2,95.0,95.0,97.0
2018,1,4,3,96.0,95.0,97.0
2018,1,4,4,97.0,97.0,97.0
2018,1,4,5,98.0,97.0,97.0
2018,1,4,6,97.0,95.0,98.0
2018,1,4,7,96.0,95.0,97.0
2018,1,4,8,94.0,93.0,97.0
2018,1,4,9,93.0,89.0,97.0
2018,1,4,10,91.0,90.0,95.0
2018,1,4,11,93.0,90.0,95.0
2018,1,4,12,93.0,88.0,95.0
2018,1,4,13,87.0,82.0,92.0
2018,1,4,14,81.0,80.0,87.0
2018,1,4,15,86.0,82.0,87.0
2018,1,4,16,91.0,83.0,89.0
2018,1,4,17,92.0,86.0,91.0
2018,1,4,18,87.0,86.0,87.0
2018,1,4,19,86.0,82.0,86.0
2018,1,4,20,84.0,80.0,84.0
2018,1,4,21,80.0,75.0,81.0
2018,1,4,22,74.0,73.0,75.0
2018,1,4,23,77.0,74.0,79.0
2018,1,5,0,74.0,72.0,74.0
2018,1,5,1,73.0,70.0,73.0
2018,1,5,2,74.0,71.0,74.0
2018,1,5,3,75.0,73.0,75.0
2018,1,5,4,79.0,77.0,79.0
2018,1,5,5,79.0,78.0,80.0
2018,1,5,6,82.0,80.0,81.0
2018,1,5,7,83.0,81.0,83.0
2018,1,5,8,90.0,88.0,87.0
2018,1,5,9,97.0,92.0,94.0
2018,1,5,10,98.0,89.0,95.0
2018,1,5,11,98.0,92.0,96.0
2018,1,5,12,98.0,92.0,96.0
2018,1,5,13,98.0,93.0,96.0
2018,1,5,14,96.0,93.0,94.0
2018,1,5,15,95.0,91.0,94.0
2018,1,5,16,93.0,88.0,93.0
2018,1,5,17,92.0,89.0,92.0
2018,1,5,18,94.0,91.0,93.0
2018,1,5,19,90.0,87.0,94.0
2018,1,5,20,88.0,85.0,93.0
2018,1,5,21,85.0,83.0,92.0
2018,1,5,22,82.0,83.0,89.0
2018,1,5,23,81.0,78.0,92.0
2018,1,6,0,73.0,72.0,78.0
2018,1,6,1,74.0,76.0,79.0
2018,1,6,2,75.0,77.0,80.0
2018,1,6,3,75.0,75.0,81.0
2018,1,6,4,77.0,78.0,87.0
2018,1,6,5,79.0,79.0,93.0
2018,1,6,6,79.0,76.0,93.0
2018,1,6,7,74.0,75.0,86.0
2018,1,6,8,75.0,72.0,79.0
2018,1,6,9,70.0,67.0,82.0
2018,1,6,10,62.0,62.0,72.0
2018,1,6,11,57.0,61.0,63.0
2018,1,6,12,55.0,56.0,60.0
2018,1,6,13,50.0,50.0,57.0
2018,1,6,14,53.0,54.0,56.0
2018,1,6,15,55.0,54.0,59.0
2018,1,6,16,56.0,58.0,58.0
2018,1,6,17,61.0,65.0,64.0
2018,1,6,18,67.0,76.0,68.0
2018,1,6,19,66.0,70.0,68.0
2018,1,6,20,65.0,68.0,68.0
2018,1,6,21,68.0,69.0,73.0
2018,1,6,22,67.0,68.0,73.0
2018,1,6,23,68.0,68.0,75.0
2018,1,7,0,65.0,67.0,70.0
2018,1,7,1,77.0,75.0,75.0
2018,1,7,2,74.0,76.0,76.0
2018,1,7,3,77.0,80.0,75.0
2018,1,7,4,77.0,78.0,76.0
2018,1,7,5,73.0,74.0,77.0
2018,1,7,6,70.0,73.0,73.0
2018,1,7,7,69.0,73.0,72.0
2018,1,7,8,67.0,71.0,69.0
2018,1,7,9,67.0,70.0,68.0
2018,1,7,10,66.0,66.0,66.0
2018,1,7,11,60.0,63.0,62.0
2018,1,7,12,58.0,62.0,60.0
2018,1,7,13,54.0,57.0,55.0
2018,1,7,14,54.0,58.0,56.0
2018,1,7,15,55.0,56.0,57.0
2018,1,7,16,57.0,57.0,58.0
2018,1,7,17,59.0,59.0,61.0
2018,1,7,18,62.0,64.0,63.0
2018,1,7,19,64.0,66.0,66.0
2018,1,7,20,67.0,69.0,68.0
2018,1,7,21,71.0,73.0,70.0
2018,1,7,22,81.0,81.0,83.0
2018,1,7,23,87.0,84.0,89.0
2018,1,8,0,91.0,87.0,88.0
2018,1,8,1,92.0,86.0,92.0
2018,1,8,2,87.0,85.0,89.0
2018,1,8,3,86.0,84.0,90.0
2018,1,8,4,83.0,81.0,89.0
2018,1,8,5,77.0,76.0,86.0
2018,1,8,6,77.0,81.0,80.0
2018,1,8,7,75.0,79.0,82.0
2018,1,8,8,77.0,79.0,82.0
2018,1,8,9,75.0,78.0,80.0
2018,1,8,10,76.0,76.0,76.0
2018,1,8,11,72.0,74.0,73.0
2018,1,8,12,66.0,70.0,67.0
2018,1,8,13,62.0,66.0,63.0
2018,1,8,14,59.0,62.0,60.0
2018,1,8,15,59.0,59.0,60.0
2018,1,8,16,66.0,59.0,60.0
2018,1,8,17,68.0,62.0,59.0
2018,1,8,18,70.0,66.0,76.0
2018,1,8,19,72.0,70.0,86.0
2018,1,8,20,81.0,71.0,90.0
2018,1,8,21,82.0,77.0,92.0
2018,1,8,22,83.0,80.0,94.0
2018,1,8,23,90.0,84.0,94.0
2018,1,9,0,90.0,88.0,95.0
2018,1,9,1,86.0,87.0,96.0
2018,1,9,2,86.0,83.0,94.0
2018,1,9,3,85.0,83.0,89.0
2018,1,9,4,83.0,81.0,85.0
2018,1,9,5,92.0,91.0,91.0
2018,1,9,6,94.0,95.0,91.0
2018,1,9,7,94.0,95.0,91.0
2018,1,9,8,96.0,93.0,92.0
2018,1,9,9,96.0,93.0,94.0
2018,1,9,10,97.0,94.0,94.0
2018,1,9,11,97.0,95.0,95.0
2018,1,9,12,98.0,96.0,96.0
2018,1,9,13,98.0,97.0,96.0
2018,1,9,14,99.0,97.0,97.0
2018,1,9,15,99.0,97.0,97.0
2018,1,9,16,97.0,94.0,95.0
2018,1,9,17,93.0,87.0,89.0
2018,1,9,18,91.0,84.0,87.0
2018,1,9,19,89.0,87.0,87.0
2018,1,9,20,90.0,90.0,88.0
2018,1,9,21,92.0,96.0,91.0
2018,1,9,22,96.0,97.0,94.0
2018,1,9,23,98.0,98.0,96.0
2018,1,10,0,98.0,98.0,97.0
2018,1,10,1,99.0,98.0,98.0
2018,1,10,2,99.0,98.0,98.0
2018,1,10,3,99.0,98.0,99.0
2018,1,10,4,99.0,96.0,98.0
2018,1,10,5,98.0,90.0,98.0
2018,1,10,6,98.0,86.0,99.0
2018,1,10,7,98.0,85.0,98.0
2018,1,10,8,98.0,90.0,99.0
2018,1,10,9,99.0,91.0,99.0
2018,1,10,10,96.0,88.0,98.0
2018,1,10,11,86.0,80.0,91.0
2018,1,10,12,80.0,75.0,83.0
2018,1,10,13,87.0,84.0,85.0
2018,1,10,14,92.0,86.0,90.0
2018,1,10,15,85.0,80.0,83.0
2018,1,10,16,72.0,66.0,73.0
2018,1,10,17,70.0,65.0,69.0
2018,1,10,18,75.0,68.0,74.0
2018,1,10,19,78.0,70.0,87.0
2018,1,10,20,78.0,71.0,87.0
2018,1,10,21,77.0,68.0,82.0
2018,1,10,22,77.0,65.0,86.0
2018,1,10,23,77.0,68.0,86.0
2018,1,11,0,79.0,70.0,88.0
2018,1,11,1,78.0,74.0,86.0
2018,1,11,2,81.0,74.0,89.0
2018,1,11,3,81.0,75.0,87.0
2018,1,11,4,81.0,77.0,88.0
2018,1,11,5,83.0,84.0,90.0
2018,1,11,6,84.0,85.0,91.0
2018,1,11,7,83.0,80.0,92.0
2018,1,11,8,83.0,79.0,88.0
2018,1,11,9,80.0,79.0,89.0
2018,1,11,10,77.0,75.0,82.0
2018,1,11,11,74.0,75.0,75.0
2018,1,11,12,73.0,75.0,75.0
2018,1,11,13,77.0,74.0,81.0
2018,1,11,14,65.0,74.0,70.0
2018,1,11,15,67.0,70.0,67.0
2018,1,11,16,70.0,68.0,68.0
2018,1,11,17,67.0,70.0,65.0
2018,1,11,18,71.0,70.0,72.0
2018,1,11,19,73.0,74.0,77.0
2018,1,11,20,76.0,76.0,84.0
2018,1,11,21,78.0,76.0,88.0
2018,1,11,22,75.0,76.0,84.0
2018,1,11,23,78.0,76.0,87.0
2018,1,12,0,78.0,77.0,90.0
2018,1,12,1,83.0,81.0,92.0
2018,1,12,2,90.0,84.0,94.0
2018,1,12,3,93.0,91.0,95.0
2018,1,12,4,94.0,93.0,95.0
2018,1,12,5,95.0,92.0,96.0
2018,1,12,6,96.0,94.0,97.0
2018,1,12,7,97.0,95.0,98.0
2018,1,12,8,96.0,97.0,98.0
2018,1,12,9,97.0,98.0,98.0
2018,1,12,10,91.0,98.0,98.0
2018,1,12,11,82.0,95.0,95.0
2018,1,12,12,78.0,87.0,81.0
2018,1,12,13,76.0,83.0,72.0
2018,1,12,14,74.0,77.0,70.0
2018,1,12,15,71.0,74.0,69.0
2018,1,12,16,71.0,72.0,71.0
2018,1,12,17,77.0,75.0,76.0
2018,1,12,18,80.0,80.0,81.0
2018,1,12,19,82.0,79.0,85.0
2018,1,12,20,81.0,77.0,88.0
2018,1,12,21,81.0,78.0,82.0
2018,1,12,22,82.0,80.0,83.0
2018,1,12,23,86.0,82.0,87.0
2018,1,13,0,87.0,83.0,88.0
2018,1,13,1,88.0,85.0,87.0
2018,1,13,2,92.0,91.0,89.0
2018,1,13,3,96.0,95.0,93.0
2018,1,13,4,98.0,97.0,95.0
2018,1,13,5,99.0,98.0,97.0
2018,1,13,6,98.0,96.0,97.0
2018,1,13,7,95.0,92.0,95.0
2018,1,13,8,97.0,93.0,94.0
2018,1,13,9,97.0,89.0,95.0
2018,1,13,10,96.0,87.0,94.0
2018,1,13,11,93.0,87.0,90.0
2018,1,13,12,85.0,79.0,87.0
2018,1,13,13,83.0,76.0,80.0
2018,1,13,14,74.0,71.0,72.0
2018,1,13,15,77.0,71.0,72.0
2018,1,13,16,71.0,65.0,68.0
2018,1,13,17,68.0,64.0,68.0
2018,1,13,18,77.0,72.0,76.0
2018,1,13,19,83.0,75.0,89.0
2018,1,13,20,84.0,75.0,93.0
2018,1,13,21,83.0,73.0,95.0
2018,1,13,22,83.0,75.0,94.0
2018,1,13,23,85.0,77.0,94.0
2018,1,14,0,83.0,76.0,94.0
2018,1,14,1,86.0,78.0,95.0
2018,1,14,2,86.0,78.0,93.0
2018,1,14,3,91.0,87.0,90.0
2018,1,14,4,94.0,92.0,93.0
2018,1,14,5,88.0,87.0,91.0
2018,1,14,6,85.0,84.0,92.0
2018,1,14,7,84.0,84.0,92.0
2018,1,14,8,84.0,80.0,93.0
2018,1,14,9,83.0,81.0,93.0
2018,1,14,10,78.0,77.0,85.0
2018,1,14,11,69.0,72.0,71.0
2018,1,14,12,70.0,75.0,73.0
2018,1,14,13,63.0,70.0,68.0
2018,1,14,14,62.0,64.0,64.0
2018,1,14,15,67.0,66.0,68.0
2018,1,14,16,68.0,68.0,69.0
2018,1,14,17,73.0,73.0,74.0
2018,1,14,18,79.0,78.0,79.0
2018,1,14,19,83.0,81.0,86.0
2018,1,14,20,82.0,83.0,92.0
2018,1,14,21,84.0,84.0,94.0
2018,1,14,22,80.0,84.0,95.0
2018,1,14,23,81.0,82.0,95.0
2018,1,15,0,82.0,84.0,96.0
2018,1,15,1,81.0,83.0,95.0
2018,1,15,2,81.0,82.0,94.0
2018,1,15,3,78.0,83.0,88.0
2018,1,15,4,76.0,81.0,85.0
2018,1,15,5,74.0,80.0,84.0
2018,1,15,6,75.0,82.0,85.0
2018,1,15,7,82.0,90.0,85.0
2018,1,15,8,85.0,92.0,89.0
2018,1,15,9,81.0,86.0,89.0
2018,1,15,10,77.0,82.0,75.0
2018,1,15,11,67.0,74.0,64.0
2018,1,15,12,55.0,64.0,54.0
2018,1,15,13,51.0,57.0,50.0
2018,1,15,14,51.0,53.0,62.0
2018,1,15,15,51.0,52.0,53.0
2018,1,15,16,56.0,54.0,58.0
2018,1,15,17,57.0,53.0,55.0
2018,1,15,18,63.0,60.0,75.0
2018,1,15,19,68.0,67.0,84.0
2018,1,15,20,74.0,73.0,87.0
2018,1,15,21,77.0,75.0,91.0
2018,1,15,22,75.0,76.0,91.0
2018,1,15,23,78.0,81.0,91.0
2018,1,16,0,80.0,82.0,92.0
2018,1,16,1,84.0,84.0,93.0
2018,1,16,2,84.0,82.0,95.0
2018,1,16,3,86.0,80.0,94.0
2018,1,16,4,88.0,82.0,94.0
2018,1,16,5,86.0,82.0,91.0
2018,1,16,6,84.0,83.0,91.0
2018,1,16,7,86.0,83.0,92.0
2018,1,16,8,89.0,83.0,93.0
2018,1,16,9,90.0,84.0,93.0
2018,1,16,10,87.0,85.0,90.0
2018,1,16,11,80.0,82.0,84.0
2018,1,16,12,84.0,84.0,87.0
2018,1,16,13,88.0,85.0,92.0
2018,1,16,14,91.0,85.0,94.0
2018,1,16,15,91.0,82.0,94.0
2018,1,16,16,85.0,84.0,88.0
2018,1,16,17,85.0,84.0,85.0
2018,1,16,18,86.0,85.0,86.0
2018,1,16,19,87.0,86.0,89.0
2018,1,16,20,88.0,88.0,91.0
2018,1,16,21,88.0,88.0,90.0
2018,1,16,22,87.0,87.0,89.0
2018,1,16,23,87.0,88.0,93.0
2018,1,17,0,89.0,89.0,92.0
2018,1,17,1,87.0,88.0,90.0
2018,1,17,2,89.0,90.0,90.0
2018,1,17,3,90.0,90.0,92.0
2018,1,17,4,90.0,91.0,94.0
2018,1,17,5,89.0,90.0,91.0
2018,1,17,6,86.0,86.0,89.0
2018,1,17,7,83.0,85.0,86.0
2018,1,17,8,84.0,86.0,87.0
2018,1,17,9,83.0,83.0,85.0
2018,1,17,10,78.0,78.0,79.0
2018,1,17,11,69.0,72.0,72.0
2018,1,17,12,63.0,67.0,67.0
2018,1,17,13,60.0,62.0,63.0
2018,1,17,14,58.0,62.0,59.0
2018,1,17,15,60.0,61.0,58.0
2018,1,17,16,62.0,61.0,58.0
2018,1,17,17,62.0,62.0,61.0
2018,1,17,18,65.0,66.0,66.0
2018,1,17,19,68.0,70.0,68.0
2018,1,17,20,68.0,70.0,68.0
2018,1,17,21,70.0,73.0,70.0
2018,1,17,22,70.0,73.0,67.0
2018,1,17,23,72.0,72.0,71.0
2018,1,18,0,71.0,71.0,75.0
2018,1,18,1,70.0,72.0,70.0
2018,1,18,2,75.0,76.0,78.0
2018,1,18,3,76.0,80.0,81.0
2018,1,18,4,74.0,80.0,75.0
2018,1,18,5,76.0,92.0,76.0
2018,1,18,6,72.0,89.0,72.0
2018,1,18,7,65.0,78.0,65.0
2018,1,18,8,61.0,81.0,65.0
2018,1,18,9,62.0,70.0,64.0
2018,1,18,10,56.0,69.0,55.0
2018,1,18,11,52.0,57.0,52.0
2018,1,18,12,51.0,55.0,51.0
2018,1,18,13,49.0,54.0,46.0
2018,1,18,14,47.0,49.0,45.0
2018,1,18,15,42.0,47.0,43.0
2018,1,18,16,52.0,53.0,51.0
2018,1,18,17,57.0,59.0,56.0
2018,1,18,18,63.0,67.0,61.0
2018,1,18,19,72.0,76.0,71.0
2018,1,18,20,77.0,80.0,76.0
2018,1,18,21,80.0,82.0,79.0
2018,1,18,22,82.0,84.0,82.0
2018,1,18,23,83.0,84.0,84.0
2018,1,19,0,83.0,83.0,84.0
2018,1,19,1,83.0,84.0,83.0
2018,1,19,2,83.0,84.0,84.0
2018,1,19,3,79.0,82.0,81.0
2018,1,19,4,83.0,84.0,83.0
2018,1,19,5,84.0,83.0,84.0
2018,1,19,6,81.0,83.0,82.0
2018,1,19,7,82.0,84.0,84.0
2018,1,19,8,82.0,84.0,85.0
2018,1,19,9,80.0,82.0,82.0
2018,1,19,10,77.0,78.0,77.0
2018,1,19,11,70.0,74.0,72.0
2018,1,19,12,64.0,67.0,67.0
2018,1,19,13,62.0,66.0,63.0
2018,1,19,14,60.0,63.0,60.0
2018,1,19,15,58.0,60.0,54.0
2018,1,19,16,58.0,58.0,54.0
2018,1,19,17,59.0,61.0,55.0
2018,1,19,18,64.0,66.0,62.0
2018,1,19,19,62.0,68.0,61.0
2018,1,19,20,62.0,69.0,58.0
2018,1,19,21,64.0,72.0,63.0
2018,1,19,22,72.0,77.0,74.0
2018,1,19,23,72.0,77.0,81.0
2018,1,20,0,74.0,77.0,86.0
2018,1,20,1,77.0,76.0,89.0
2018,1,20,2,80.0,82.0,91.0
2018,1,20,3,91.0,82.0,93.0
2018,1,20,4,87.0,81.0,95.0
2018,1,20,5,86.0,81.0,96.0
2018,1,20,6,86.0,84.0,96.0
2018,1,20,7,88.0,86.0,97.0
2018,1,20,8,91.0,86.0,97.0
2018,1,20,9,94.0,86.0,98.0
2018,1,20,10,88.0,82.0,96.0
2018,1,20,11,78.0,74.0,84.0
2018,1,20,12,69.0,66.0,72.0
2018,1,20,13,61.0,64.0,68.0
2018,1,20,14,61.0,66.0,63.0
2018,1,20,15,68.0,63.0,63.0
2018,1,20,16,68.0,61.0,65.0
2018,1,20,17,70.0,65.0,67.0
2018,1,20,18,72.0,74.0,73.0
2018,1,20,19,78.0,78.0,81.0
2018,1,20,20,80.0,81.0,85.0
2018,1,20,21,81.0,82.0,89.0
2018,1,20,22,80.0,82.0,85.0
2018,1,20,23,80.0,81.0,83.0
2018,1,21,0,79.0,81.0,83.0
2018,1,21,1,81.0,82.0,83.0
2018,1,21,2,82.0,82.0,84.0
2018,1,21,3,83.0,83.0,85.0
2018,1,21,4,84.0,84.0,85.0
2018,1,21,5,83.0,83.0,86.0
2018,1,21,6,82.0,83.0,85.0
2018,1,21,7,82.0,82.0,84.0
2018,1,21,8,80.0,81.0,83.0
2018,1,21,9,81.0,84.0,83.0
2018,1,21,10,82.0,83.0,83.0
2018,1,21,11,80.0,81.0,81.0
2018,1,21,12,78.0,79.0,79.0
2018,1,21,13,76.0,78.0,77.0
2018,1,21,14,75.0,76.0,76.0
2018,1,21,15,72.0,75.0,73.0
2018,1,21,16,74.0,77.0,75.0
2018,1,21,17,74.0,75.0,75.0
2018,1,21,18,75.0,76.0,77.0
2018,1,21,19,77.0,78.0,79.0
2018,1,21,20,79.0,80.0,87.0
2018,1,21,21,79.0,80.0,84.0
2018,1,21,22,80.0,82.0,84.0
