ANO,MS,DI,HR,1200535,1200579,1210762
2018,1,1,0,-990.0,.0,.0
2018,1,1,1,-990.0,.0,.0
2018,1,1,2,-990.0,.0,.0
2018,1,1,3,-990.0,.0,.0
2018,1,1,4,-990.0,.0,.0
2018,1,1,5,-990.0,.0,.0
2018,1,1,6,-990.0,.0,.0
2018,1,1,7,-990.0,.0,.0
2018,1,1,8,-990.0,1.8,.6
2018,1,1,9,-990.0,256.7,157.4
2018,1,1,10,-990.0,709.6,563.8
2018,1,1,11,-990.0,1231.1,1059.8
2018,1,1,12,-990.0,954.6,1074.6
2018,1,1,13,-990.0,1479.2,1175.4
2018,1,1,14,-990.0,1365.6,1099.1
2018,1,1,15,-990.0,1235.7,1374.5
2018,1,1,16,-990.0,515.8,442.7
2018,1,1,17,-990.0,219.8,218.3
2018,1,1,18,-990.0,29.6,19.0
2018,1,1,19,-990.0,.0,.1
2018,1,1,20,-990.0,.0,.0
2018,1,1,21,-990.0,.0,.2
2018,1,1,22,-990.0,.0,.0
2018,1,1,23,-990.0,.0,.0
2018,1,2,0,-990.0,.0,.0
2018,1,2,1,-990.0,.0,.0
2018,1,2,2,-990.0,.0,.0
2018,1,2,3,-990.0,.0,.0
2018,1,2,4,-990.0,.0,.0
2018,1,2,5,-990.0,.0,.0
2018,1,2,6,-990.0,.0,.6
2018,1,2,7,-990.0,.0,.0
2018,1,2,8,-990.0,2.1,.8
2018,1,2,9,-990.0,243.6,190.6
2018,1,2,10,-990.0,632.2,521.1
2018,1,2,11,-990.0,941.3,705.5
2018,1,2,12,-990.0,1080.7,975.3
2018,1,2,13,-990.0,929.5,764.2
2018,1,2,14,-990.0,761.2,653.7
2018,1,2,15,-990.0,658.5,557.5
2018,1,2,16,-990.0,342.7,378.9
2018,1,2,17,-990.0,149.8,152.8
2018,1,2,18,-990.0,11.5,14.3
2018,1,2,19,-990.0,.0,.0
2018,1,2,20,-990.0,.0,.0
2018,1,2,21,-990.0,.0,.0
2018,1,2,22,-990.0,.0,.0
2018,1,2,23,-990.0,.0,.0
2018,1,3,0,-990.0,.0,.0
2018,1,3,1,-990.0,.0,.0
2018,1,3,2,-990.0,.0,.0
2018,1,3,3,-990.0,.0,.0
2018,1,3,4,-990.0,.0,.0
2018,1,3,5,-990.0,.0,.0
2018,1,3,6,-990.0,.0,.0
2018,1,3,7,-990.0,.0,.0
2018,1,3,8,-990.0,1.4,.8
2018,1,3,9,-990.0,136.9,139.5
2018,1,3,10,-990.0,605.8,437.8
2018,1,3,11,-990.0,842.6,583.7
2018,1,3,12,-990.0,1082.1,643.6
2018,1,3,13,-990.0,669.1,439.0
2018,1,3,14,-990.0,656.5,627.2
2018,1,3,15,-990.0,708.0,496.5
2018,1,3,16,-990.0,435.1,372.7
2018,1,3,17,-990.0,169.4,98.9
2018,1,3,18,-990.0,13.5,10.9
2018,1,3,19,-990.0,.0,.0
2018,1,3,20,-990.0,.0,.0
2018,1,3,21,-990.0,.0,.0
2018,1,3,22,-990.0,.0,.0
2018,1,3,23,-990.0,.0,.0
2018,1,4,0,-990.0,.0,.0
2018,1,4,1,-990.0,.0,.0
2018,1,4,2,-990.0,.0,.0
2018,1,4,3,-990.0,.0,.0
2018,1,4,4,-990.0,.0,.0
2018,1,4,5,-990.0,.0,.0
2018,1,4,6,-990.0,.0,.0
2018,1,4,7,-990.0,.0,.0
2018,1,4,8,-990.0,1.3,.1
2018,1,4,9,-990.0,85.1,86.0
2018,1,4,10,-990.0,438.8,304.2
2018,1,4,11,-990.0,422.8,217.6
2018,1,4,12,-990.0,695.5,366.9
2018,1,4,13,-990.0,1391.1,1052.2
2018,1,4,14,-990.0,741.2,1559.4
2018,1,4,15,-990.0,341.3,562.9
2018,1,4,16,-990.0,322.2,432.2
2018,1,4,17,-990.0,104.3,116.6
2018,1,4,18,-990.0,12.1,24.4
2018,1,4,19,-990.0,.0,.0
2018,1,4,20,-990.0,.0,.0
2018,1,4,21,-990.0,.0,.0
2018,1,4,22,-990.0,.0,.0
2018,1,4,23,-990.0,.0,.0
2018,1,5,0,-990.0,.0,.0
2018,1,5,1,-990.0,.0,.0
2018,1,5,2,-990.0,.0,.0
2018,1,5,3,-990.0,.0,.0
2018,1,5,4,-990.0,.0,.0
2018,1,5,5,-990.0,.0,.0
2018,1,5,6,-990.0,.0,.0
2018,1,5,7,-990.0,.0,.0
2018,1,5,8,-990.0,3.2,2.0
2018,1,5,9,-990.0,37.6,41.2
2018,1,5,10,-990.0,100.4,101.2
2018,1,5,11,-990.0,81.9,61.3
2018,1,5,12,-990.0,124.9,119.6
2018,1,5,13,-990.0,257.4,364.6
2018,1,5,14,-990.0,177.9,224.8
2018,1,5,15,-990.0,236.7,213.6
2018,1,5,16,-990.0,166.6,178.6
2018,1,5,17,-990.0,35.1,29.2
2018,1,5,18,-990.0,3.0,4.3
2018,1,5,19,-990.0,.0,.0
2018,1,5,20,-990.0,.0,.0
2018,1,5,21,-990.0,.0,.8
2018,1,5,22,-990.0,.0,.3
2018,1,5,23,-990.0,.0,.9
